Benchmark,Percentile,Men,Women
Row 2K,50th,00:07:39,00:08:51
Row 2K,40th,00:07:48,00:09:02
Row 2K,25th,00:08:05,00:09:26
Row 2K,20th,00:08:14,00:09:35
Amanda,99th,00:03:36,00:04:00
Amanda,95th,00:04:24,00:05:12
Amanda,90th,00:04:56,00:05:49
Amanda,80th,00:05:55,00:06:54
Amanda,75th ,00:06:19,00:07:22
Amanda,60th,00:07:34,00:08:43
Amanda,50th,00:08:28,00:09:48
Amanda,40th,00:09:26,00:10:46
Amanda,25th,00:11:15,00:13:00
Amanda,20th,00:12:00,00:14:09
